,840,841,842,843
SIE-Scwrlmut,0.17517778737583478,0.2574462189350818,0.17700612706346852,0.043510741029488854
SIE-Rosmut,0.06412882470279226,0.03682494761384551,0.03419308256507082,0.08718720058065726
SIE-Rosiface-sc,0.0774901785036998,0.024850371855559283,0.03220242575189379,0.028151667282476978
SIE-RosCDR-loop,0.03132513138463695,0.04142270546245812,0.03576521294281726,0.07778632847790058
Rosmut,0.18928941021921583,0.15680257683779558,0.14570781478647865,0.21189088585866014
Rosiface-sc,0.08280140774279154,0.04725931037125442,0.06211026244635729,0.04908813918137104
RosCDR-loop,0.033594269456099654,0.04448559915008584,0.056045389811013493,0.023946275770353232
FoldXB,0.039265550513499475,0.06806863103655475,0.07311683858588551,0.06358274519049992
FoldXS,0.03648909584149451,0.028445689247508486,0.03518326149580173,0.03877514087081487
DS_BIND,0.0681735473946537,0.1400198009022571,0.14380302927972688,0.1745811837146756
DS_STABLE,0.08517413951018761,0.028460595939735017,0.06670115336134784,0.040619936020379395
mCSM,0.1170906573550938,0.12591355264786402,0.1381654019101383,0.16087975602272206
